Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Coconut Adobo Shrimp,PT20M,Filipino,"c(""Asian"", ""Weeknight"", ""< 30 Mins"", ""Easy"")","c(""coconut milk"", ""garlic clove"", ""roma tomatoes"", ""lime, juice of"", ""lime, zest of"", ""chipotle chile in adobo"", ""shrimp"", ""green onions"", ""fresh cilantro"")","c(""In a large skillet, heat coconut milk, ginger and garlic to boiling over high heat."", ""Add tomato, lime juice and shrimp."", ""Reduce heat to medium and cook for 2-3 minutes or until shrimp are done."", ""Stir in cilantro and green onions and top with almonds."", ""Serve with rice or pasta."")",561.1
Sisig-Inspired Pork Shoulder (Oven or Pressure Cooker),PT50M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Pressure Cooker"", ""< 60 Mins"", ""Stove Top"", ""Easy"", ""Inexpensive"")","c(""soy sauce"", ""hoisin sauce"", ""limes"", ""garlic cloves"", ""powdered ginger"", ""onion"", ""honey"", ""liquid smoke"", ""cilantro"", ""egg"")","c(""Brown meat on all sides."", ""Dice the onion.  Put 2 T onion aside for use as garnish later."", ""Peel the garlic cloves and flatten (smash)."", ""Slice the jalapeno peppers."", ""Add onions, garlic and peppers to a dutch oven or pressure cooker."", ""Cut each lime into 4 wedges and squeeze juice into mixture.  Add wedges (including peel) to cooker."", ""Add hoisin sauce, soy sauce, powdered ginger and honey."", ""Stir to mix the sauce."", ""Add browned meat to cooker."", ""Bake in preheated 300F oven for 2.5 hours or cook on high pressure (15 lb) in pressure cooker for 35 minutes."", 
""Let meat rest for 20 minutes."", ""Shred meat with forks (or just slice the meat).  Serve over steamed rice.  Garnish with diced raw onions, diced hard boiled egg and chopped cilantro on top."")",608.9
Country Style Pork Ribs Adobong,PT2H,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""white vinegar"", ""soy sauce"", ""garlic"", ""bay leaves"", ""peppercorn"", ""country-style pork ribs"", ""coconut milk"")","c(""Mix together the vinegar, soy sauce, garlic, bay leaves, and peppercorns."", ""Add pork ribs and toss to coat."", ""Marinate overnight in refrigerator, turning at least once."", ""Dain marinade into a large straight-sided skillet or 2 smaller skillets."", ""Bring to a boil and add ribs."", ""Cover and simmer for 1 hour, turning ribs over half way through."", ""Add coconut milk and simmer 20 minutes longer, uncovered."", ""Remove ribs and turn heat to high."", ""Boil the sauce and reduce to about 1 cup."", ""Strain and set aside."", 
""Brush the ribs with the sauce."", ""Grill or broil until slightly crisp, basting with the sauce."")",732.2
Siopao Pinoy Style Dim Sum,PT2H20M,Chicken Breast,"c(""Chicken"", ""Pork"", ""Poultry"", ""Meat"", ""Chinese"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""scallions"", ""soy sauce"", ""pork"", ""chicken"", ""onion"", ""garlic cloves"", ""soy sauce"", ""hoisin sauce"", ""oyster sauce"", ""sugar"", ""brown sugar"", ""dry sherry"", ""black pepper"", ""cornstarch"", ""cornstarch"", ""hard-boiled eggs"", ""active dry yeast"", ""water"", ""all-purpose flour"", ""sugar"", ""salt"", ""milk"", ""baking powder"")","c(""Preparations / Notes:"", ""1.\tYou can make a Soy Sauce – Chili Pepper Oil Dip in advance if desired. See recipe below…."" , ""2.\tMake the siopao filling first and allow to cool to room temperature or refrigerate as it’s easier to handle when cold."" , ""3.\tHave a couple of damp towels on hand to cover dough during various parts of the recipe."", ""4.\tMove your rack to the lowest part of your oven to allow room for the bowl of dough to rise in a warm environment. Shortly before placing the dough in the oven, the instructions will ask you to preheat your oven on its lowest setting for 2 minutes, then turn the oven off."", 
""5.\tIt will take about an hour for the dough to rise."", ""6.\tSoak your bamboo steamers for 10 minutes in warm water, pat dry and lightly oil the bottom and sides before using to cook the Siopao."", ""7.\tCut up 24 – 30, 2 inch square pieces of waxed paper prior to filling the dough balls with the siopao filling."" , ""8.\tIt is helpful to have a very small, oblong pastry rolling pin (flat in the middle, tapering ends), I had a larger oblong one that I made due with."", ""9.\tRestaurants and bakeries like to color code their siopao with small dots of food coloring to indicate the filling ingredients, i.e. chicken, pork, beef, etc. If you’re making a variety of fillings and flavors, decide upon your color code and when the siopao is formed and placed on a oiled cookie sheet during the prep phase, paint your small dot to indicate filling. My chicken filling usually has no dot, pork filling red."" , 
""Chili Pepper Oil Instructions:"", ""Cut each scallion into 3-inch lengths."", ""Smash ginger root with side of cleaver."", ""Heat oil in a wok over high heat. Add scallions and ginger. Turn off heat immediately. After 5 minutes, discard the scallions and ginger. Cool for 5 more minutes."", ""Place chili flakes in a bowl and ladle the cooled oil over them. Cover and leave over-night at room temperature. Strain oil and bottle it. Store the chili flakes in a covered jar. Both will keep indefinitely if refrigerated."", 
""Soy Sauce – Chili Pepper Oil Dip Instructions:"", ""The soy sauce and chili pepper oil can be mixed in advance in these proportions, or left in separate containers to be mixed by your guests in the desired proportions."", ""Siopao Filling instructions:"", ""Heat the 3 tbsp of sesame oil in a wok at high heat. Using a spatula, coat the sides of the wok about half way up with the hot oil."", ""Sauté the garlic and onion in sesame oil."", ""Add the pork or chicken and stir-fry until lightly brown."", ""Add the rest of the ingredients together in a small bowl, minus the eggs, then pour into the wok and stir-fry until it thickens. Add more soy, hoisin, oyster sauce or sugar to taste."", 
""Remove from heat and add eggs, if desired, then set aside to cool or refrigerate. (It’s easier to handle when cold)."", ""Siopao Dough Instructions:"", ""Check to make sure the yeast is active by sprinkling it over ½ cup of the tepid water. Let stand until completely dissolved and the mixture begins to bubble. (about 5 minutes)."", ""Mix flour, sugar, salt and baking powder together in a bowl, whisking to mix evenly."", ""Add softened lard, the dissolved yeast, milk and remaining water and mix with wooden spoon."", 
""Turn out the dough onto a lightly floured surface. And knead until it loses most of its stickiness."", ""Place the dough ball into an oiled ceramic bowl and cover with a damp towel.  I used a ceramic coated Le Creuset Dutch oven."", ""Warm your oven on its lowest setting for 2 minutes and then turn off."", ""Place the covered dough in the oven for 1 hour or until the dough has doubled in volume. The dough is now ready to be used for the siopao recipe."", ""Siopao Assembly Instructions:"", ""Punch down dough and divide in half."", 
""Reserve one of the halves in the bowl and cover with the damp towel. Roll the other half into a cylindrical dough stick about 1.5 to 2 inches in diameter."", ""Cut into 12 equal portions and cover with damp towel."", ""Roll and flatten one of the small dough balls in the palm of your hand, then place it on your prep surface and roll the disk out to 4 inches in diameter. Roll the edge thinner than the center. NOTE: it is helpful to have a very small, oblong pastry rolling pin (flat in the middle, tapering ends), I had a larger oblong one that I made due with."", 
""Hold the dough disk in hand and place a tablespoon of filling at the center."", ""Begin pleating edges of the dough at the top forming a pocket for the filling with your other hand."", ""Gently guide the filling into the pocket with your holding hand’s thumb if need be."", ""Continue pleating around to complete the pocket and close it off by twisting the pleats together."", ""Attach a wax paper square to the sealed end and place, paper side down in on an oiled cookie sheet, giving enough room for the dough to rise a little more. Cover up reserved ones with a lightly damp towel until ready to cook. Let the buns rise again for 20 – 45 minutes."", 
""Continue the rolling and filling procedures until you have made the first 12 siopao buns. Repeat procedures with the remaining ingredients."", ""Siopao Cooking Instructions:"", ""Place hot water in a wok to come within an inch of the bottom of the steamer. Boil water in a controlled fashion so that the water is not trying to leap out of your wok or pot but yet plenty of hot steam. Keep a pot of water boiling off to the side, in case you need to replenish the water in the wok."", ""Arrange the siopao, paper side down in an oiled steamer basket allowing room between each. I’ve cooked siopao in two sets of dual stacked steamers with great results."", 
""Set the steamer over the wok for 10 – 15 minutes. Resist the urge to lift the lid while steaming. It will stop the dough from rising."", ""Remove steamers and allow siopao to cool a little before moving to wire cooling rack. Serve warm."", ""The siopao freezes well to and can be reheated in a microwave oven for a minute on high or re-steamed."")",402.1
Sinigang Na Baka (Beef and Tamarind Soup),PT1H15M,Meat,"c(""Filipino"", ""Asian"", ""Potluck"", ""Weeknight"", ""< 4 Hours"", ""Easy"", ""From Scratch"")","c(""canola oil"", ""onion"", ""garlic cloves"", ""beef stew meat"", ""water"", ""tomatoes"", ""fresh green beans"", ""radish"", ""bok choy"", ""fresh broccoli"", ""tamarind soup mix"")","c(""Heat oil in medium stock pot. Saute onion and garlic until tender. Add beef to pot, and saute until browned. Pour in water. Bring to a boil, reduce heat, and simmer 20 to 30 minutes. Remove scum from top of soup and discard."", ""Place tomatoes, taro, jalapenos green beans, and radishes in pot, and continue to simmer for 10 minutes. Stir in bok choy, broccoli and tamarind soup mix. Simmer for an additional 10 minutes."")",274.6
Banana Lumpia,PT25M,Dessert,"c(""Filipino"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Kosher"", ""Hanukkah"", ""< 30 Mins"", ""Easy"")","c(""bananas"", ""sugar"", ""cinnamon"", ""canola oil"")","c(""Combine sugar and cinnamon in a bowl and coat bananas with the mixture."", ""Take 1 spring roll wrapper and place 1 banana strip on bottom â…“ of wrapper. Fold in left and right side and roll up from bottom."", ""Deep-fry on each side until golden brown. Drain on paper towels and serve while still warm."")",123.5
Lina's Lumpia,PT1H,Filipino,"c(""Asian"", ""Very Low Carbs"", ""< 60 Mins"", ""For Large Groups"", ""Easy"")","c(""ground pork"", ""ground beef"", ""onion"", ""scallion"", ""garlic"", ""carrot"", ""eggs"", ""cilantro"", ""wonton wrapper"")","c(""Mix all ingredients adding one egg at a time until the consistency of meatloaf. Using wonton wrappers of your choice, place a small amount of the meat on the wrapper and roll per instructions with the wrappers.  Fry in hot oil until done, golden brown."", ""Variation - you may add water chestnuts, celery or soy sauce to the meat mixture if you choose."")",157.9
Anna's Lumpia,PT1H,Filipino,"c(""Asian"", ""Very Low Carbs"", ""< 60 Mins"", ""For Large Groups"")","c(""ground pork"", ""salt"", ""garlic"", ""soy sauce"", ""egg"", ""carrot"", ""onion"", ""wonton wrapper"")","c(""Mix all ingredients to taste. It should be the texture of meatloaf. Using tip above, cook a bit and then adjust for flavor."", ""Place teaspoonful on the wonton wrapper and roll according to package directions."", ""Deep fry in hot oil until golden brown."", ""This mixture may also be used to fill wontons for soup."")",125.5
Frugal Gourmet Chicken and Pork Adobo,PT1H5M,Filipino,"c(""Asian"", ""Very Low Carbs"", ""High Protein"", ""High In..."", ""< 4 Hours"", ""Easy"")","c(""white vinegar"", ""water"", ""garlic"", ""salt"", ""bay leaves"", ""black pepper"", ""chicken"", ""soy sauce"")","c(""Place a 6 qt heavy stove - top covered casserole on the burner and add the vinegar, water, garlic, salt, bay leaves and pepper.  Bring to a boil."", ""Add the cut up meat to the casserole and cover, bringing to the boil again.  Turn the heat to a simmer and cook, covered for 30 minutes.  Add the soy sauce and cook for 10 more minutes.  Remove meat from pot and reduce the juices by at least half.  Remove sauce to a bowl and reheat the pot.  Add the oil and brown the meat in small batches.  Brown it well.  Drain the oil from the pot and return the sauce to the pot.  Heat the adobo to serving temperature."", 
""Serve with rice."")",578.2
Pollo Sabroso,PT55M,Chicken Thigh & Leg,"c(""Chicken"", ""Poultry"", ""Meat"", ""Puerto Rican"", ""Caribbean"", ""Filipino"", ""Asian"", ""Mexican"", ""Weeknight"", ""< 60 Mins"", ""Easy"")","c(""chicken thighs"", ""vinegar"", ""soy sauce"", ""adobo seasoning"", ""garlic powder"", ""oregano"")","c(""In a small bowl, stir together the vinegar and soy sauce.  Rub over chicken and turn to coat."", ""In another small bowl, mix together the sazon, adobo, garlic powder and oregano.  Season thighs with the mixture; let chicken marinade at least 20 minutes or overnight."", ""Broil, bake or grill until chicken is cooked through."")",401.8
Chicken Adobo (Cook's Illustrated),PT1H40M,Chicken Thigh & Leg,"c(""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Lactose Free"", ""Free Of..."", ""Weeknight"", ""Stove Top"", ""< 4 Hours"", ""Easy"", ""Inexpensive"", ""From Scratch"")","c(""chicken thighs"", ""soy sauce"", ""coconut milk"", ""cider vinegar"", ""garlic cloves"", ""bay leaves"", ""ground pepper"", ""scallion"")","c(""Toss the chicken with the soy sauce in a large bowl. Refrigerate for at least 30 minutes and up to 1 hour."", ""Remove chicken from the soy sauce allowing excess to drip back into the bowl. Transfer the chicken, skin-side down, to a 12 inch non-stick skillet; set aside the soy sauce."", ""Place the skillet over medium-high heat and cook until the chicken skin is browned 7 to 10 minutes."", ""While the chicken is browning, whisk coconut milk, vinegar, garlic, bay leaves and pepper into the soy sauce. (I chopped the garlic)."", 
""Transfer the chicken to a plate and discard the fat in the skillet. Return the chicken to the skillet skin-side down, add the coconut milk mixture, and bring to a boil. Reduce heat to medium-low and simmer uncovered for 20 minutes. Flip chicken skin side up and continue to cook, uncovered, until chicken is done, about 15 minutes (175 deg F internal temp)."", ""Transfer chicken to platter and tent loosely with aluminum foil."", ""Remove bay leaves and skim any fat off surface of sauce. Return skillet to medium-high heat and cook until sauce is thickened, 5 to 7 minutes."", 
""Pour sauce over chicken, sprinkle with scallion and serve."", ""Note: I made half the recipe and found that the sauce reduced very quickly. I covered the skillet after turning the chicken, but still had very little sauce left - more fat. I will try stirring in some cream to make more sauce, but did not do so this time - the chicken was very moist and flavorful. In any event, if you do make just half the recipe, keep your eye on it!"")",790.3
Sinangag (Filipino Fried Rice),PT20M,Breakfast,"c(""Rice"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 30 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"", ""From Scratch"")","c(""eggs"", ""garlic cloves"", ""garlic"", ""cooked rice"", ""soy sauce"", ""green onions"")","c(""Whisk eggs with 1 tbsp water in small bowl."", ""Coat wok or large skillet with cooking spray, and heat over medium-high heat. Add eggs, tilting to coat bottom of pan, and cook 3 to 5 minutes (like an omelet), or until firm and set."", ""Transfer eggs to cutting board, and cut into 2 inch strips."", ""Add oil to pan, and increase heat to medium. Stir in chopped garlic, and cook 3 to 5 minutes, or until browned, stirring often."", ""Add rice, increase heat to high, and cook 3 to 4 minutes, or until rice begins to brown. Stir in the soy sauce and season with salt and pepper, if desired. Stir in green onions, then eggs.""
)",278.9
Baked Lumpia Rolls,PT55M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""ground pork"", ""carrot"", ""onion"", ""water chestnut"", ""bamboo shoot"", ""garlic cloves"", ""fresh ginger"", ""soy sauce"", ""black pepper"", ""egg"")","c(""In a large bowl combine the pork, carrot, onion, water chestnut, bamboo shoots, garlic, ginger, soy sauce and pepper."", ""Stir mixture until thoroughly combined at this point you can cover and stick in the fridge overnight."", ""I lay out about 10 wrappers at a time, roll the meat mixture into cigar shapes about finger thickness be reasonable-and the length of the wrapper.  Roll and brush ends with beaten egg and finish the roll to seal."", ""Place seam side down on a cookie sheet and repeat until done."", 
""Bake in a preheated 450° oven, turning once for around 20 minutes.  They should be cooked through and the wrappers are golden brown."", ""Serve hot."")",261.7
Baked Lumpia Dipping Sauce,PT10M,Filipino,"c(""Asian"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Easy"")","c(""cider vinegar"", ""soy sauce"", ""garlic"", ""green onions"", ""sugar"", ""black pepper"")","""Combine the ingredients in a mixing bowl and set aside for an hour before use.""",210.3
Creamy Macaroni Chicken Soup (Sopas),PT40M,Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Low Cholesterol"", ""< 60 Mins"")","c(""elbow macaroni"", ""chicken breast"", ""evaporated milk"", ""butter"", ""garlic"", ""onion"", ""carrot"", ""chicken bouillon cube"", ""fish sauce"", ""water"")","c(""Boil water in a pot, add chicken until cooked and set aside."", ""In med heat, add the butter, onion, garlic and carrots."", ""Add elbow macaroni, raise the heat to high, stirring often until macaroni is cooked."", ""Add back the chicken and Knorr Chicken Cube to boil and simmer."", ""Stir in evaporated milk to boil and simmer."", ""Season with salt and pepper or fish sauce."")",506.5
Mango Float,PT20M,Dessert,"c(""Mango"", ""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""Low Protein"", ""Kid Friendly"", ""Weeknight"", ""< 30 Mins"", ""From Scratch"")","c(""mangoes"", ""heavy cream"", ""sweetened condensed milk"", ""mango"", ""vanilla extract"", ""mango"", ""graham cracker"", ""mango"", ""cashew nuts"", ""maraschino cherry"")","c(""Blend cream and sweetened condensed milk together. Add mashed mango. Add vanilla. Set aside, preferably keeping it chilled until needed. (You may opt to use more sweetened condensed milk for a sweeter taste)."", ""In a square 9 x 9-inch or a rectangular 9 x 13-inch Pyrex or any transparent dish, assemble graham crackers and cream mixture by arranging the crackers on the bottom of the dish."", ""Spread one third of the cream mixture, arrange some mango slices, then put another layer of the crackers. Repeat the process, ending with the cream mixture on top."", 
""Sprinkle with chopped nuts (optional). Garnish with more slices of mangoes or maraschino cherries for a more festive appeal."", ""Chill well before serving."")",238.1
Angel Hair Pancit,PT1H,Filipino,"c(""Asian"", ""Healthy"", ""< 60 Mins"", ""Easy"")","c(""angel hair pasta"", ""pork"", ""garlic cloves"", ""onion"", ""bay leaf"", ""shiitake mushrooms"", ""hoisin sauce"", ""vinegar"", ""soy sauce"", ""salt"", ""black pepper"")","c(""Cook angel hair pasta in boiling water for approximately 4 minutes.  Cool under cold water immediately.  Pasta should be al dente."", ""Sauté in a wok, garlic, onion, bay leaf until onions are translucent.  Add pork.  After pork is browned, add vinegar, soy sauce, hoisin sauce, salt and black pepper.  Cover and cook 5 minutes add shiitake strips and cook another 5 minutes. There should be liquid in the wok, if not add water slowly until you can barely see liquid boiling through your ingredients.  Lower temp to low and gently fold in pasta little at a time making sure everything is mixed well.  Cover and let simmer for 5 minutes.  Remove the bay leaf and toss before serving.""
)",694.1
Adobo Rice,PT2H10M,Rice,"c(""Filipino"", ""Asian"", ""Low Cholesterol"", ""Healthy"", ""< 4 Hours"", ""Easy"")","c(""chicken broth"", ""white vinegar"", ""soy sauce"", ""sweet paprika"", ""onion powder"", ""garlic powder"", ""ginger powder"", ""bay leaf"", ""peppercorns"", ""long grain rice"")","c(""Wrap the following; paprika, onion, garlic, ginger, bay leaves, pepper corn and chili and using a string to hold the cheesecloth together.  In a saucepan add in the chicken broth, oil, vinegar, soy sauce and cheesecloth.  Bring to a boil and simmer for 20 to 30 minutes.  Remove the cheesecloth.  Cool at room temperature.  About 1 1/2 hours."", ""Wash the rice and place into a rice cooker add in the adobo broth.  Set the rice cooker to cook."")",538.1
Ground Beef Soup Casserole,PT40M,One Dish Meal,"c(""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""Toddler Friendly"", ""Kid Friendly"", ""Savory"", ""Weeknight"", ""< 60 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""white rice"", ""water"", ""ground beef"", ""green beans"", ""roma tomato"", ""garlic"", ""water"", ""beef bouillon cubes"", ""soy sauce"")","c(""Rice:"", ""Put 5 cups of water into 2 cups of white rice in a medium sauce pan."", ""Bring to boil, then put heat to low. Usually takes about 15 mins to cook. Add water if rice is not cooked yet."", ""Set aside when finished."", ""Soup:"", ""1 tspn of vegetable oil."", ""1 tspn of chopped garlic."", ""Add ground beef. Don't brown it all the way."", ""Add salt & pepper."", ""Add diced tomatoes."", ""Mix it all up."", ""Add 5 cups of water."", ""Add 5 beef buillion cubes."", ""Add 12oz of green beans."", ""Cover, lower them temp down to medium. mix it every 5 mins to prevent overflowing when it simmers."", 
""10 mins after you've put the green beans in, add 1/4 cup of soy sauce and mix."", ""Let cook for another 10-15 mins or until green beans are tender."", ""pour over rice, & ENJOY!"")",873.1
Lomi Soup,PT20M,Filipino,"c(""Asian"", ""< 30 Mins"")","c(""minced garlic cloves"", ""onion"", ""chicken"", ""chicken livers"", ""cellophane noodles"", ""eggs"", ""salt"", ""pepper"", ""water"", ""chicken broth"", ""leek"", ""celery"", ""fish sauce"")","c(""In a large sauce pan, heat oil and saute garlic and onions, add chicken and liver and season with salt and pepper and simmer for about 5 minutes."", ""add the rest of the vegetables and lomi, cook for another 5 minutes."", ""add chicken broth and adjust your taste by adding fish sauce."", ""Turn off heat and break in 2 pcs eggs and stir."", ""serve hot!"")",682
Lumpia (Beef) Rolls,PT40M,Meat,"c(""Filipino"", ""Asian"", ""Christmas"", ""Thanksgiving"", ""Birthday"", ""< 60 Mins"", ""Deep Fried"", ""Inexpensive"")","c(""garlic cloves"", ""onion"", ""ground beef"", ""carrots"", ""soy sauce"", ""cornstarch"", ""water"")","c(""Heat skillet on med-high heat. Add oil."", ""Saute garlic and onion.(Till onion turns transparent)."", ""Add ground beef.Cook till its no longer pink."", ""Add chopped carrots,soy sauce and beef bouillion."", ""Season with salt and pepper according to taste. When meat mixture is cooked, drain excess oil and let it cool."", ""While waiting for the meat to cool down,separate wrappers."", ""Put 1 Tbsp -2 Tbsp of filling in the center of the wrapper. And seal the edges with the cornstarch mixture."", ""When done wrapping rolls, you can freeze them for later use or deep fry it."", 
""Heat oil to 350 degrees."", ""And 6-8 rolls (depending on the size of your fryer) in the deep fryer,and fry them till they're golden brown."", ""Drain on a paper towel."", ""Serve with sweet and sour sauce."", ""Enjoy!"", ""NOTE: ***(Direction on \""how to wrap?' should be on the back of the pkg.)."")",323.2
Crema De Fruita -- Filipino Trifle,PT50M,Dessert,"c(""Fruit"", ""Filipino"", ""Asian"", ""Kid Friendly"", ""Christmas"", ""Sweet"", ""< 60 Mins"", ""For Large Groups"", ""Inexpensive"", ""From Scratch"")","c(""flour"", ""baking powder"", ""eggs"", ""sugar"", ""milk"", ""butter"", ""vanilla extract"", ""sugar"", ""water"", ""sugar"", ""flour"", ""milk"", ""butter"", ""vanilla extract"", ""unflavored gelatin"")","c(""To make the sponge cake:  Preheat oven to 350°F"", ""Grease and flour a 9 x 13\"" baking pan."", ""Sift the flour and baking powder together; set to the side."", ""In a mixing bowl, beat the egg yolks until thick then slowly add the sugar."", ""Continue mixing until light and fluffy."", ""Gradually add the flour mixture."", ""In a saucepan, combine milk, butter and vanilla extract; cook just until the butter has melted."", ""Slowly pour into the batter; mix until combined."", ""Pour into prepared pan; bake for 20 to 25 minutes or until golden and cake tests done."", 
""Let cool completely."", ""To make the cake syrup:  Place sugar and water in a saucepan; cook until the sugar has dissolved."", ""Drizzle lightly over the cooled sponge cake and let the cake absorb the liquid."", ""To make the custard: In a saucepan, combine sugar, flour and milk."", ""Cook in medium-high heat, whisking constantly, until it thickens."", ""Pour some of the mixture over the egg yolks and mix together till combined."", ""Add the egg yolk mixture to the saucepan."", ""Cook for a few more minutes then remove from heat."", 
""Stir in butter and vanilla extract."", ""Pour over the sponge cake."", ""Let cool completely."", ""In a large mixing bowl, pour in the fruit cocktail and sprinkle the unflavored gelatin on top."", ""Let the gelatin \""bloom\"" (absorb liquid and expand) about five minutes before stirring it completely into the fruit cocktail."", ""Microwave for 30 seconds to 1 minutes to melt the gelatin."", ""Pour over the custard."", ""Refrigerate for at least 2 hours before serving."")",179.9
Chicken Adobo,PT55M,Chicken Breast,"c(""Chicken Thigh & Leg"", ""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Easy"")","c(""cider vinegar"", ""soy sauce"", ""water"", ""whole black peppercorn"", ""paprika"", ""tomatoes"", ""garlic cloves"", ""chicken breasts"", ""chicken thighs"")","c(""In an 8” x 8” piece of cheese cloth add pepper corns, pickling spice and clove of garlic and wrap and tie with a piece of string."", ""In a 10 quart stockpot add all of the ingredients and bring the mixture to a rolling boil; add in the chicken pieces and return back to a boil and reduce to a low simmer for 30 minutes.  Cover and turn off the heat for 15 minutes longer.  Taste the stock and salt and pepper if needed.   Serve over hot rice."")",530.2
Filipino-Korean Adobo,PT40M,One Dish Meal,"c(""Lunch/Snacks"", ""Pork"", ""Soy/Tofu"", ""Beans"", ""Meat"", ""Korean"", ""Filipino"", ""Asian"", ""Spicy"", ""< 60 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""tofu"", ""garlic cloves"", ""white vinegar"", ""soy sauce"", ""water"", ""green pepper"", ""toasted sesame seeds"")","c(""Sprinkle Korean red chili powder on both sides of the pork."", ""In a medium sized saucepot/saucepan, put in the pork and pour in the soy sauce, water, vinegar, gochujang, kimchi juice & garlic.Cover. Do NOT mix."", ""Cook over medium fire for about 25 to 30 minutes until the pork is cooked and the sauce is thickened. It should be simmering, NOT boiling."", ""Uncover and put in the kimchi, sesame oil and tofu."", ""Cover and cook for 5 more minutes."", ""Serve with steamed white rice."", ""Actual cooking video: http://www.youtube.com/watch?v=fBlNLfJi-RA.""
)",784.4
Chicken Adobo - Filipino Style,PT24H45M,Chicken Thigh & Leg,"c(""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Stove Top"")","c(""soy sauce"", ""garlic cloves"", ""fresh ground black pepper"", ""cider vinegar"", ""white vinegar"", ""bay leaves"", ""chicken thighs"", ""brown sugar"", ""olive oil"", ""onions"", ""green onion"")","c(""The day before cooking the chicken, in a large glass bowl combine in it the soy sauce, garlic, black pepper, vinegar, tomatoes and bay leaves. Add the chicken, making sure it is almost completely submerged in the marinade. (An alternate method would be to pour the marinade mixture in a ziplock bag then add the chicken pieces, squeezing out the air).  Lightly cover and refrigerate 12 to 24 hours."", ""When ready to cook, turn the entire mixture into a heavy 4-quart pot. Bring to a gentle bubble, cover and cook 25 minutes or until the center of a chicken thigh is heated to 175 degrees on an instant-reading thermometer."", 
""With tongs, remove the chicken to a plate. Skim as much fat as possible from the cooking liquid and simmer down by half (skimming fat if possible) adding a pinch of sugar and salt, if desired. Meanwhile, coat a 12-inch straight-sided saute pan with the olive oil. Heat over medium-high. Arrange the chicken pieces skin down to brown, adjusting the heat so chicken as not to burn."", ""When they are a deep rich brown on one side, turn the pieces and scatter the onion around them. Brown, adjust the heat, moving the onions around so pieces don't burn. Then, with a slotted spoon, transfer the chicken and onions to a serving bowl. Pour the boiled-down pan juices over them and serve. Garnish the adobo with a scattering of thinly sliced green onions.""
)",798.1
Pancit Canton,PT1H30M,Chicken Thigh & Leg,"c(""Chicken"", ""Pork"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""For Large Groups"", ""< 4 Hours"")","c(""water"", ""salt"", ""medium shrimp"", ""cornstarch"", ""salt"", ""white pepper"", ""salt"", ""ginger powder"", ""sugar"", ""Kikkoman soy sauce"", ""cornstarch"", ""red onion"", ""garlic"", ""napa cabbage"", ""celery"", ""carrots"", ""scallion"", ""chicken broth"", ""Kikkoman soy sauce"", ""fish sauce"", ""salt"", ""pepper"")","c(""In a wok add in the piece of side pork and cover with water and 1 tablespoon of salt and bring to a rolling boil and cover with wok cover and turn off the heat.  Let this stand for an hour and pour out the water and plate the cooked side pork.  After a hour or until the pork come to room temperature slice off about a lb and save the other pieces for a another dish."", ""In a wok add 4 tablespoon of oil and when the oil start to smoke add in the shrimps and stir fry until pink and pour the cook shrimps into a warm dish and set aside."", 
""In a mixing bowl combine shrimp, cornstarch, salt, white pepper and oil and mix well."", ""In a mixing bowl combine chicken meat, salt, garlic and onion mix, ginger, sugar, soy sauce, cornstarch and oil and mix well and cover with a sheet of plastic and into the refrigerator for 30 minutes."", ""Place the sausages on to a plate and set aside."", ""In wok saute in oil the garlic and onions.  Then add chicken, pork and sausages until cooked."", ""Add peas, cabbage, black fungus, celery and diced carrot and combine the mixture add in the pansit noodles and the chicken broth until noodles is soft.  Add the shrimps, scallions, soy sauce, fish sauce, salt and pepper to taste.  Mix well."", 
""Serve about 25 persons."")",136.7
